year,tree,bagPerReplicate,gallSizeDiameter_mm,BtreataeEmergence 
2004,3,3,5.77,1
2004,3,3,5.85,1
2004,3,3,5.08,1
2004,3,3,5.92,1
2004,3,3,6.01,1
2004,3,3,6.16,1
2004,3,3,5.36,1
2004,3,3,5.72,1
2004,3,3,5.28,1
2004,3,3,5.42,1
2004,3,3,5.31,1
2004,3,3,6.28,1
2004,3,3,5.89,1
2004,3,3,5.54,1
2004,3,3,5.82,1
2004,3,3,5.83,1
2004,3,3,6.53,0
2004,3,3,5.02,1
2004,3,3,6.29,0
2004,3,3,4.54,0
2004,3,3,4.77,1
2004,3,3,5.84,1
2004,3,3,4.66,1
2004,3,3,4.71,1
2004,3,3,5.8,1
2004,3,3,5.39,1
2004,3,3,4.35,1
2004,3,3,5.21,1
2004,3,3,4.94,1
2004,3,3,5.59,1
2004,3,3,4.42,1
2004,3,3,4.1,1
2004,3,3,5.42,0
2004,3,3,4.49,1
2004,3,3,4.75,1
2004,3,3,5.47,1
2004,3,3,4.5,1
2004,3,3,3.51,1
2004,3,3,5.26,1
2004,3,3,4.2,1
2004,3,3,3.98,1
2004,3,3,4.43,1
2004,3,3,3.71,1
2004,3,3,3.81,1
2004,3,3,3.38,1
2004,3,3,4.23,1
2004,3,3,3.91,1
2004,3,3,3.08,1
2004,3,3,3.46,1
2004,3,3,3.37,1
2004,3,3,3.09,1
2004,3,3,2.73,0
2004,3,3,3.63,1
2004,3,3,3.36,0
2004,3,3,2.84,0
2004,3,3,2.06,0
2004,3,3,3.06,1
2004,3,3,2.53,0
2004,3,3,2.41,1
2004,3,3,2.2,1
2004,3,3,2.26,0
2004,3,3,7.55,0
2004,3,3,5.78,0
2004,3,1,6.97,0
2004,3,1,6.87,0
2004,3,1,7.41,0
2004,3,1,7.24,0
2004,3,1,7.26,0
2004,3,1,6.73,0
2004,3,1,6.16,0
2004,3,1,6.28,0
2004,3,1,5.37,0
2004,3,1,5.67,0
2004,3,1,5.74,0
2004,3,1,6.58,0
2004,3,1,5.38,0
2004,3,1,5.49,0
2004,3,1,5.82,0
2004,3,1,6.62,0
2004,3,1,4.45,0
2004,3,1,4.63,0
2004,3,1,4.99,0
2004,3,1,3,0
2004,3,1,1.95,0
2004,3,1,5.21,1
2004,3,1,3.96,1
2004,3,1,6.02,1
2004,3,1,5.09,1
2004,3,1,4.78,1
2004,3,1,4.16,1
2004,3,1,3.93,1
2004,3,1,3.85,1
2004,3,1,3.81,1
2004,3,1,4.14,1
2004,3,1,4.91,1
2004,3,1,4.42,1
2004,3,1,3.39,1
2004,3,2,5.27,0
2004,3,2,4.3,0
2004,3,2,2.97,0
2004,3,2,3.59,0
2004,3,2,2.87,0
2004,3,2,4.55,1
2004,3,2,3.31,1
2004,3,2,3.73,1
2004,3,2,2.64,1
2004,3,2,3.8,0
2004,3,2,5.27,0
2004,3,2,5.02,0
2004,3,2,4.3,0
2004,3,2,4.28,0
2004,3,2,4.49,0
2004,3,2,4.8,0
2004,3,2,4.51,0
2004,3,2,3.69,0
2004,3,2,4.53,0
2004,3,2,4.15,0
2004,3,2,3.66,0
2004,3,2,4.74,1
2004,3,2,4.17,1
2004,3,2,4.82,1
2004,3,2,4.1,1
2004,3,2,3.77,1
2004,3,2,4.09,1
2004,3,2,4.34,1
2004,3,2,4.46,1
2004,3,2,4.82,1
2004,3,2,4.7,1
2004,3,2,5.34,1
2004,3,2,4.15,1
2004,3,2,5.13,1
2004,3,2,5.77,1
2004,3,2,4.97,1
2004,3,2,4.83,1
2004,3,2,3.52,1
2004,3,2,3.69,1
2004,3,2,3.63,1
2004,3,2,3.19,1
2004,3,2,4.09,1
2004,3,2,4.28,1
2004,3,2,4.72,1
2004,3,2,3.71,1
2004,3,2,4.14,1
2004,3,2,2.93,1
2004,3,2,2.72,1
2004,3,3,6.61,1
2004,3,3,5.24,1
2004,3,3,5.48,0
2004,3,3,6.25,0
2004,3,3,6.73,0
2004,3,3,6.7,1
2004,3,3,6.68,0
2004,3,3,6.57,1
2004,3,3,6.46,1
2004,3,3,5.38,1
2004,3,3,6.62,1
2004,3,3,5.32,1
2004,3,3,5.68,1
2004,3,3,5.24,0
2004,3,3,4.51,1
2004,3,3,6.33,0
2004,3,3,6.3,0
2004,3,3,6.16,1
2004,3,3,4.84,0
2004,3,3,5.47,1
2004,3,3,5.58,1
2004,3,3,5.51,1
2004,3,3,5.82,1
2004,3,3,5.28,1
2004,3,3,5.65,1
2004,3,3,5.9,1
2004,3,3,5.09,1
2004,3,3,5.96,0
2004,3,3,5.27,1
2004,3,3,5.05,1
2004,3,3,5.03,1
2004,3,3,5.82,1
2004,3,3,5.99,1
2004,3,3,6.09,0
2004,3,3,5.45,1
2004,3,3,4.64,0
2004,3,3,6.48,0
2004,3,3,4.36,0
2004,3,3,6.02,0
2004,3,3,4.24,0
2004,3,3,5.59,0
2004,3,3,5.31,0
2004,3,3,4.73,0
2004,3,3,5.01,0
2004,3,3,4.31,0
2004,3,3,5.72,1
2004,3,3,5.2,1
2004,3,3,5.38,1
2004,3,3,5.37,1
2004,3,3,5.85,1
2004,3,3,5.13,1
2004,3,3,5.62,1
2004,3,3,5.27,1
2004,3,3,5.54,1
2004,3,3,5.13,1
2004,3,3,5.18,1
2004,3,3,5.35,1
2004,3,3,5.37,1
2004,3,3,5.85,1
2004,3,3,5.13,1
2004,3,3,5.62,1
2004,3,3,5.27,1
2004,3,3,5.54,1
2004,3,3,5.13,1
2004,3,3,5.18,1
2004,3,3,5.35,1
2004,3,3,5.37,1
2004,3,3,5.04,1
2004,3,3,4.78,1
2004,3,3,5.69,1
2004,3,3,4.27,1
2004,3,3,4.11,1
2004,3,3,5.92,1
2004,3,3,3.82,0
2004,3,3,5.84,0
2004,3,3,4.9,0
2004,3,3,5.4,0
2004,3,3,5.6,0
2004,3,3,5.53,0
2004,3,3,4.89,0
2004,3,3,4.67,0
2004,3,3,6.15,0
2004,3,3,4.45,0
2004,3,3,6.3,0
2004,3,3,4.91,0
2004,3,3,4.53,0
2004,3,3,4.35,0
2004,3,3,6.03,0
2004,3,3,5.77,0
2004,3,3,5.95,0
2004,3,3,4.21,0
2004,3,3,5.69,0
2004,3,3,5.82,0
2004,3,3,3.44,0
2004,3,3,5.72,0
2004,3,3,6.38,0
2004,3,3,6.48,0
2004,3,3,5.4,0
2004,3,3,4.63,0
2004,3,3,4.33,0
2004,3,3,5.5,0
2004,3,3,4.06,0
2004,3,3,6.32,1
2004,3,3,4.73,1
2004,3,3,4.95,1
2004,3,3,5.98,1
2004,3,3,4.56,1
2004,3,3,6.24,1
2004,3,3,6.71,1
2004,3,3,4.48,1
2004,3,3,3.84,1
2004,3,3,6.17,1
2004,3,3,5.14,1
2004,3,3,5.83,1
2004,3,3,5.67,1
2004,3,3,5.25,1
2004,3,3,5.6,1
2004,3,3,6.15,1
2004,3,3,4.16,1
2004,3,3,3.94,1
2004,3,3,5.28,1
2004,3,3,3.96,1
2004,3,3,4.84,1
2004,3,3,5.8,1
2004,3,3,6.22,1
2004,3,3,3.93,1
2004,3,3,5.36,1
2004,3,3,4.73,1
2004,3,3,4.86,1
2004,3,3,5.76,1
2004,3,3,4.03,1
2004,3,3,4.18,1
2004,3,3,4.84,1
2004,3,3,4.01,1
2004,3,3,5.18,1
2004,3,3,3.95,1
2004,3,3,5.47,0
2004,3,3,5.01,0
2004,3,3,5.38,0
2004,3,3,4.78,0
2004,3,3,4.94,0
2004,3,3,2.71,0
2004,3,3,5.73,0
2004,3,3,5.76,0
2004,3,3,5.71,0
2004,3,3,6.14,0
2004,3,3,5.47,0
2004,3,3,5.48,0
2004,3,3,5.47,0
2004,3,3,5.02,0
2004,3,3,6.07,0
2004,3,3,3.59,0
2004,3,3,4.94,0
2004,3,3,3.96,0
2004,3,3,4.27,0
2004,3,3,5.27,0
2004,3,3,5.42,0
2004,3,3,4.77,0
2004,3,3,5.9,0
2004,3,3,5.11,0
2004,3,3,4.19,0
2004,3,3,4.75,1
2004,3,3,4.74,1
2004,3,3,6.42,1
2004,3,3,5.26,1
2004,3,3,4.34,1
2004,3,3,4.68,1
2004,3,3,5.25,1
2004,3,3,5.45,1
2004,3,3,6.12,1
2004,3,3,5.92,1
2004,3,3,4.55,1
2004,3,3,5.35,1
2004,3,3,5.77,1
2004,3,3,5.74,1
2004,3,3,3.35,1
2004,3,3,3.69,1
2004,3,3,4.96,1
2004,3,3,5.14,1
2004,3,3,3.21,1
2004,3,3,4.21,1
2004,3,3,3.59,1
2004,3,3,4.61,1
2004,3,3,4.94,1
2004,3,3,4.83,1
2004,3,3,3.5,1
2004,3,3,3.5,1
2004,3,3,4.45,1
2004,3,3,5.53,1
2004,3,3,5.64,1
2004,3,3,4.65,1
2004,3,3,3.88,0
2004,3,3,4.81,0
2004,3,3,5.39,0
2004,3,3,6.17,0
2004,3,3,5.17,0
2004,3,3,5.1,0
2004,3,3,5.24,0
2004,3,3,5.06,0
2004,3,3,4.94,0
2004,3,3,4.67,0
2004,3,3,3.41,0
2004,3,3,4.35,0
2004,3,3,2.26,0
2004,3,3,5.7,0
2004,3,3,3.95,0
2004,3,3,5.35,0
2004,3,3,3.39,0
2004,3,3,1.91,0
2004,3,3,1.74,0
2004,3,3,1.75,0
2004,3,3,2.74,0
2004,3,3,4.48,0
2004,3,3,6.08,0
2004,3,3,5.48,0
2004,3,3,4.88,0
2004,3,3,5.67,0
2004,3,3,2.12,0
2004,3,3,4.13,0
2004,3,3,5.14,0
2004,3,3,4.91,0
2004,3,3,3.53,0
2004,3,3,3,0
2004,3,3,3.71,0
2004,3,3,2.11,0
2004,3,3,4.57,0
2004,3,3,2.06,0
2004,3,3,4.67,0
2004,3,3,4.64,0
2004,3,3,5.69,0
2004,3,3,2.97,0
2004,3,3,2.33,0
2004,3,3,5.8,1
2004,3,3,4.33,1
2004,3,3,4.03,1
2004,3,3,3.38,1
2004,3,3,3.77,1
2004,3,3,3.29,1
2004,3,3,4.8,1
2004,3,3,3.75,1
2004,3,3,5.05,1
2004,3,3,4.85,1
2004,3,3,4.71,1
2004,3,3,4.74,1
2004,3,3,2.96,1
2004,3,3,3.04,1
2004,3,3,3.54,1
2004,3,3,4.42,1
2004,3,3,3.95,1
2004,3,3,4.25,1
2004,3,3,3.59,1
2004,3,3,4.02,1
2004,3,3,4.35,1
2004,3,3,3.43,1
2004,3,3,3.81,1
2004,3,3,4.18,1
2004,3,3,4.15,1
2004,3,3,5.32,1
2004,3,3,4.21,1
2004,3,3,3.95,1
2004,3,3,3.4,1
2004,3,3,3.36,1
2004,3,3,3.91,1
2004,3,3,4.17,1
2004,3,3,4.42,1
2004,3,3,3.09,1
2004,3,3,3.18,1
2004,3,3,3.14,1
2004,3,3,3.06,1
2004,3,1,4.82,0
2004,3,1,3.86,0
2004,3,1,6.56,1
2004,3,1,5.22,1
2004,3,1,4.96,1
2004,3,1,3.33,1
2004,3,1,2.83,1
2004,3,1,3.09,1
2004,3,3,5.24,0
2004,3,3,6.04,0
2004,3,3,4.7,0
2004,3,3,3.84,0
2004,3,3,2.57,0
2004,3,3,1.73,0
2004,3,3,1.5,0
2004,3,3,1.62,0
2004,3,3,1.79,0
2004,3,3,0.87,0
2004,3,3,4.64,1
2004,3,3,3.12,1
2004,3,3,2.09,1
2004,3,1,4.63,0
2004,3,1,5.08,0
2004,3,1,2.62,0
2004,3,1,2.42,0
2004,3,1,2.02,0
2004,3,1,2.92,0
2004,3,1,3.9,0
2004,3,1,2.5,0
2004,3,1,2.9,0
2004,3,1,5.1,0
2004,3,1,6.11,0
2004,3,2,1.98,0
2004,3,2,4.55,0
2004,3,2,4.1,0
2004,3,2,5.5,0
2004,3,2,4.28,0
2004,3,2,3.98,0
2004,3,2,4.14,0
2004,3,2,3.98,0
2004,3,2,4.34,0
2004,3,2,3,0
2004,3,2,2.28,0
2004,3,2,3.65,0
2004,3,2,1.98,0
2004,3,2,3.07,0
2004,3,2,2.6,0
2004,3,2,2.34,0
2004,3,2,1.45,0
2004,3,2,2.99,0
2004,3,2,2.83,0
2004,3,2,1.5,0
2004,3,2,2.43,0
2004,3,2,2.37,0
2004,3,2,1.51,0
2004,3,2,1.69,0
2004,3,2,1.36,0
2004,3,2,1.44,0
2004,3,2,1.91,1
2004,3,2,7.67,0
2004,3,2,6.56,1
2004,3,2,5.34,1
2004,3,2,6.06,1
2004,3,2,6.51,1
2004,3,2,5.4,1
2004,3,2,6.57,1
2004,3,2,6.29,1
2004,3,2,7.17,1
2004,3,2,6.54,1
2004,3,2,7.24,0
2004,3,2,6.89,1
2004,3,2,6.13,1
2004,3,2,7.12,0
2004,3,2,7,1
2004,3,2,6.33,1
2004,3,2,5.33,1
2004,3,2,7.05,1
2004,3,2,6.49,1
2004,3,2,5.39,1
2004,3,2,6.88,0
2004,3,2,6.27,0
2004,3,2,5.83,0
2004,3,2,6.49,1
2004,3,2,5.19,1
2004,3,2,4.9,1
2004,3,2,5.77,1
2004,3,2,5.58,1
2004,3,2,5.71,1
2004,3,2,6.42,1
2004,3,2,4.78,1
2004,3,2,4.75,1
2004,3,2,6.22,1
2004,3,2,4.42,0
2004,3,2,4.29,1
2004,3,2,5.11,1
2004,3,2,4.12,1
2004,3,2,5.37,1
2004,3,2,4.35,1
2004,3,2,3.87,1
2004,3,2,4.29,1
2004,3,2,3.51,0
2004,3,2,4.41,1
2004,3,2,4.17,1
2004,3,2,3.36,1
2004,3,2,4.13,1
2004,3,2,4.35,1
2004,3,2,3.79,0
2004,3,2,4.97,1
2004,3,2,3.17,0
2004,3,2,5.79,0
2004,3,2,2.11,0
2004,3,2,4.76,0
2004,3,2,4.09,0
2004,3,2,2.25,0
2004,3,2,1.41,0
2004,3,2,2.03,0
2004,3,2,0.99,0
2004,3,2,1.37,0
2004,3,2,2.19,0
2004,3,2,2.28,0
2004,3,2,1.63,0
2004,3,2,4.31,0
2004,3,2,4.44,0
2004,3,2,4.04,0
2004,3,2,3.45,0
2004,3,2,1.16,0
2004,3,2,2.12,1
2004,3,2,2.37,0
2004,3,2,2.91,0
2004,3,2,1.91,0
2004,3,2,2.15,0
2004,3,2,2.37,0
2004,3,2,3.01,0
2004,3,2,2.67,0
2004,3,2,2.59,0
2004,3,3,6.76,0
2004,3,3,5.08,0
2004,3,3,7.1,0
2004,3,3,5.32,1
2004,3,3,4.29,1
2004,3,3,2.66,1
2004,3,3,5.32,0
2004,3,3,3.55,1
2004,3,3,5.04,0
2004,3,3,5.19,1
2004,3,3,4.54,0
2004,3,3,1.43,0
2004,3,3,2.15,0
2004,3,3,4.64,0
2004,3,3,3.17,0
2004,3,3,2.52,0
2004,3,3,3.64,0
2004,3,3,6.02,1
2004,3,3,4.72,1
2004,3,3,6.09,0
2004,3,3,6.29,1
2004,3,3,3.57,1
2004,3,3,5.34,1
2004,3,3,5.44,0
2004,3,3,4.81,0
2004,3,3,5.23,1
2004,3,3,5.43,0
2004,3,3,4.5,0
2004,3,3,4.08,0
2004,3,3,4.31,0
2004,3,3,3.47,0
2004,3,3,4.05,0
2004,3,3,3.05,0
2004,3,3,4.75,0
2004,3,3,5.86,1
2004,3,3,3.5,1
2004,3,3,6.27,0
2004,3,3,4.26,1
2004,3,3,3.99,1
2004,3,3,4.25,1
2004,3,3,5.18,0
2004,3,3,5.57,0
2004,3,3,3.93,1
2004,3,3,4.72,1
2004,3,3,1.7,0
2004,3,3,4.71,0
2004,3,3,4.89,0
2004,3,3,4.82,0
2004,3,3,4.49,0
2004,3,3,1.75,0
2004,3,3,1.63,0
2004,3,3,6.59,0
2004,3,3,3.08,1
2004,3,3,5.66,1
2004,3,3,5.5,1
2004,3,3,4.37,1
2004,3,3,4.16,1
2004,3,3,5.53,0
2004,3,3,4.73,0
2004,3,3,4.91,1
2004,3,3,5.3,0
2004,3,3,2.96,0
2004,3,3,5.23,0
2004,3,3,4.94,0
2004,3,3,4.03,0
2004,3,3,4.73,0
2004,3,3,1.43,0
2004,3,3,1.92,0
2004,3,3,7.81,0
2004,3,3,2.91,0
2004,3,3,5.99,0
2004,3,3,2.89,1
2004,3,3,5.21,1
2004,3,3,2.64,1
2004,3,3,5.11,0
2004,3,3,2.27,1
2004,3,3,3.97,1
2004,3,3,5.16,1
2004,3,3,2.14,0
2004,3,3,4.17,0
2004,3,3,3.4,0
2004,3,3,4.4,0
2004,3,3,4.16,0
2004,3,3,2.81,0
2004,3,3,2.97,0
2004,3,3,6.86,0
2004,3,3,2.88,1
2004,3,3,5.96,0
2004,3,3,5.2,0
2004,3,3,4.01,1
2004,3,3,5.7,0
2004,3,3,5.29,0
2004,3,3,3.49,1
2004,3,3,4.73,1
2004,3,3,4.44,1
2004,3,3,2.69,0
2004,3,3,4.38,0
2004,3,3,1.74,0
2004,3,3,4.65,0
2004,3,3,3.96,0
2004,3,3,3.33,0
2004,3,3,5.91,0
2004,3,3,6,0
2004,3,3,5.53,0
2004,3,3,4.79,1
2004,3,3,5.32,1
2004,3,3,6.12,0
2004,3,3,6.21,0
2004,3,3,3.81,1
2004,3,3,3.24,1
2004,3,3,3.01,1
2004,3,3,2.15,0
2004,3,3,5.27,0
2004,3,3,2.41,0
2004,3,3,3.61,0
2004,3,3,3.55,0
2004,3,3,3.49,0
2004,3,3,4.86,1
2004,3,3,3.78,1
2004,3,3,4.6,1
2004,3,3,4.02,1
2004,3,3,3.46,1
2004,3,3,5.95,0
2004,3,3,6.13,0
2004,3,3,2.22,1
2004,3,3,5.22,1
2004,3,3,4.03,1
2004,3,3,2.83,0
2004,3,3,4.97,0
2004,3,3,3.62,0
2004,3,3,2.87,0
2004,3,3,3.22,0
2004,3,3,2.94,0
2004,3,3,4.64,1
2004,3,3,2.88,1
2004,3,3,5.26,1
2004,3,3,4,1
2004,3,3,5.61,1
2004,3,3,5.24,0
2004,3,3,5.01,0
2004,3,3,3,1
2004,3,3,4.21,1
2004,3,3,5.72,1
2004,3,3,4.51,0
2004,3,3,3.46,0
2004,3,3,4.08,0
2004,3,3,2.7,0
2004,3,3,3.3,0
2004,3,3,2.43,0
2004,3,3,3.96,0
2004,3,3,2.38,0
2004,3,3,4.36,1
2004,3,3,5.61,1
2004,3,3,3.72,1
2004,3,3,5.88,0
2004,3,3,5.1,1
2004,3,3,3.01,1
2004,3,3,4.81,1
2004,3,3,5.27,0
2004,3,3,4.05,0
2004,3,3,2.86,0
2004,3,3,3.74,0
2004,3,3,2.22,0
2004,3,3,2.52,0
2004,3,3,2.94,0
2004,3,3,3.05,0
2004,3,3,3.46,0
2004,3,3,3.31,0
2004,3,3,3.88,1
2004,3,3,4.83,1
2004,3,3,3.22,1
2004,3,3,2.38,1
2004,3,3,2.77,1
2004,3,3,2.71,1
2004,3,3,4.42,0
2004,3,3,3.37,0
2004,3,3,4.2,0
2004,3,3,4.54,1
2004,3,3,4.87,1
2004,3,3,4.13,1
2004,3,3,1.43,0
2004,3,3,2.22,0
2004,3,3,1.81,0
2004,3,3,4.35,1
2004,3,3,2.31,1
2004,3,3,3.99,1
2004,3,3,3.74,1
2004,3,3,3.02,1
2004,3,3,2.47,1
2004,3,3,4.71,0
2004,3,3,2.9,0
2004,3,3,4.14,0
2004,3,3,2.57,1
2004,3,3,3.34,1
2004,3,3,2.43,1
2004,3,3,2.72,0
2004,3,3,2.64,0
2004,3,3,3.08,0
2004,3,3,1.56,0
2004,3,3,4.52,1
2004,3,3,2.45,1
2004,3,3,4.35,1
2004,3,3,3.44,1
2004,3,3,2.94,1
2004,3,3,3.49,1
2004,3,3,2.96,0
2004,3,3,3.35,0
2004,3,3,4.81,0
2004,3,3,3.91,1
2004,3,3,4.72,1
2004,3,3,3.55,0
2004,3,3,2.32,0
2004,3,3,2.18,0
2004,3,3,2.04,0
2004,3,3,3.4,1
2004,3,3,3.84,1
2004,3,3,3.53,1
2004,3,3,3.05,1
2004,3,3,2.64,1
2004,3,3,2.83,1
2004,3,3,5.32,0
2004,3,3,5.26,0
2004,3,3,2.4,0
2004,3,3,5.15,1
2004,3,3,3.02,1
2004,3,3,4.25,0
2004,3,3,3.5,0
2004,3,3,3.12,0
2004,3,3,2.01,0
2004,3,3,3.08,1
2004,3,3,2.29,1
2004,3,3,2.72,1
2004,3,3,2.11,1
2004,3,3,2.45,1
2004,3,3,2.35,1
2004,3,3,5.2,0
2004,3,3,2.77,0
2004,3,3,2.26,0
2004,3,3,5.62,1
2004,3,3,3.75,1
2004,3,3,1.98,0
2004,3,3,3.75,0
2004,3,3,2.97,0
2004,3,3,1.86,0
2004,3,3,3.8,1
2004,3,3,3.88,1
2004,3,3,2.23,1
2004,3,3,2.65,1
2004,3,3,3.3,1
2004,3,3,2,1
2004,3,3,5.42,0
2004,3,3,5.26,0
2004,3,3,2.53,0
2004,3,3,4.29,1
2004,3,3,2.69,1
2004,3,3,2.93,0
2004,3,3,3.5,0
2004,3,3,3.12,0
2004,3,3,2.85,1
2004,3,3,4.99,1
2004,3,3,2.95,1
2004,3,3,2.38,1
2004,3,3,2,1
2004,3,3,3.17,1
2004,3,3,4.14,0
2004,3,3,5.52,0
2004,3,3,4.02,0
2004,3,3,3.68,0
2004,3,3,4.02,1
2004,3,3,2.11,1
2004,3,3,3.19,0
2004,3,3,2.74,0
2004,3,3,3.13,0
2004,3,3,2.69,1
2004,3,3,3.55,1
2004,3,3,1.83,1
2004,3,3,4.2,1
2004,3,3,2.37,1
2004,3,3,2.86,1
2004,3,3,4.36,0
2004,3,3,3.19,0
2004,3,3,4.97,0
2004,3,3,4.19,0
2004,3,3,4.44,1
2004,3,3,3.24,1
2004,3,3,3.8,0
2004,3,3,2.62,1
2004,3,3,2.96,0
2004,3,3,3.57,1
2004,3,3,3.11,1
2004,3,3,4.48,1
2004,3,3,2.74,1
2004,3,3,2.53,1
2004,3,3,2.63,1
2004,3,3,3.44,0
2004,3,3,4.67,0
2004,3,3,4.85,0
2004,3,3,4.69,0
2004,3,3,5.07,1
2004,3,3,3.11,1
2004,3,3,2.28,0
2004,3,3,2.73,0
2004,3,3,3.07,0
2004,3,3,4.23,1
2004,3,3,3.96,1
2004,3,3,2.19,1
2004,3,3,3.64,1
2004,3,3,3.6,1
2004,3,3,2.54,1
2004,3,3,3.7,0
2004,3,3,4.69,0
2004,3,3,3.04,0
2004,3,3,4.34,0
2004,3,3,2.79,1
2004,3,3,3.64,1
2004,3,1,7.18,0
2004,3,1,6.29,1
2004,3,1,6.7,1
2004,3,1,5.59,1
2004,3,1,5.59,0
2004,3,1,5.44,1
2004,3,1,5.05,0
2004,3,1,5.19,1
2004,3,1,3.61,1
2004,3,1,4.84,1
2004,3,1,3.96,1
2004,3,1,4.37,1
2004,3,1,4.33,1
2004,3,1,4.46,1
2004,3,1,4.12,1
2004,3,1,2.47,1
2004,3,2,3.62,0
2004,3,2,1.68,0
2004,3,2,2.36,0
2004,3,2,4.5,0
2004,10,1,5.94,0
2004,10,1,6.47,0
2004,10,1,3.31,0
2004,10,1,3.95,0
2004,10,1,5.41,0
2004,10,1,3.8,0
2004,10,1,4.25,0
2004,10,1,3.87,0
2004,10,1,3.9,0
2004,10,1,1.82,0
2004,10,1,2.46,0
2004,10,1,4.5,0
2004,10,1,2.45,0
2004,10,1,3.1,0
2004,10,1,2.51,1
2004,10,1,7.18,1
2004,10,1,5.44,1
2004,10,1,5.89,1
2004,10,1,5.13,1
2004,10,1,3.43,1
2004,10,1,5.95,1
2004,10,1,4.1,1
2004,10,1,3.84,1
2004,10,1,5.13,1
2004,10,1,5.94,1
2004,10,1,4.83,1
2004,10,1,5.05,1
2004,10,1,4.12,1
2004,10,1,3.81,1
2004,10,1,3.49,1
2004,10,1,6.59,1
2004,10,1,4.17,1
2004,10,1,5.2,1
2004,10,1,4.29,1
2004,10,1,5.33,1
2004,10,1,2.8,1
2004,10,3,3.05,0
2004,10,3,5.45,0
