ms,sex,trait_1,trait_2,trait_3,trait_4,trait_5,trait_6,trait_7
0,male,1.669936286,0.718950319,0.461000183,0.500252407,0.829231387,1.384567122,0.065307218
0,male,1.665098636,0.803024973,0.3539985,0.406890575,0.691975508,1.326487907,-0.045576747
0,male,1.713765108,0.862445351,0.258553007,0.762121096,0.786550741,1.442394482,0.129466329
0,male,1.688226535,0.743856891,0.393972944,0.529634282,0.662179817,1.392187531,0.074471734
1,male,1.685521729,0.700324252,0.331391953,0.510442884,0.669705455,1.23652179,0.025912877
0,male,1.681472614,0.81011365,0.296493568,0.667587541,0.820182433,1.399152847,0.075662571
0,male,1.648701058,0.676124418,0.395834311,0.475477054,0.679353661,1.314094976,-0.021255106
1,male,1.617145236,0.797228993,0.499571755,0.599250547,0.948033136,1.392925141,0.200621871
1,male,1.709036474,0.709899825,0.477138992,0.70221195,0.822534005,1.39351193,0.103751008
0,male,1.673213819,0.78941399,0.521082961,0.596533322,0.811750775,1.373260325,0.042326213
1,male,1.664449995,0.764821044,0.599605316,0.672043424,0.859462187,1.458277596,0.242331906
0,male,1.710183854,0.769736318,0.254539238,0.494916594,0.857203141,1.323616704,0.115195922
0,male,1.705816983,0.802855703,0.458374324,0.702567328,0.80534494,1.359515305,0.056046544
1,male,1.696622656,0.953392378,0.465826344,0.616683571,0.840956689,1.37283443,0.130171706
0,male,1.714089604,0.779489844,0.351186337,0.639855909,0.829941746,1.485408914,0.14196315
0,male,1.655593377,0.77264927,0.412125892,0.551056572,0.75762314,1.416740209,0.062413678
0,male,1.772378856,0.943691738,0.464806238,0.793203275,0.990497327,1.456625042,0.23966053
0,male,1.664247982,0.898841344,0.360541756,0.5074215,0.855703521,1.36415517,0.128203133
1,male,1.706630426,0.746815391,0.439370111,0.518544383,0.82077913,1.411382263,0.112922917
0,male,1.680869455,0.883137836,0.284265314,0.52325321,0.65975051,1.393316857,-0.014402693
0,male,1.717248013,0.811117157,0.436200893,0.562134678,1.032411717,1.379922245,0.342371326
1,male,1.703037311,0.780433398,0.356933487,0.627582328,0.74036425,1.346658863,0.119116026
0,male,1.696904582,0.731435538,0.408223815,0.611092106,0.8506374,1.410411703,0.112485944
0,male,1.695916647,0.72988852,0.408993421,0.638025249,0.90607364,1.390381232,0.175767251
0,male,1.63417001,0.707079511,0.365002186,0.62045063,0.677513681,1.325422882,-0.059097875
1,male,1.695556561,0.868515552,0.489828196,0.658590379,0.744034866,1.534466214,0.167256366
0,male,1.639333339,0.723068277,0.399207263,0.473484892,0.714993337,1.368751258,0.109570011
1,male,1.719871165,0.914989402,0.430064681,0.668074572,1.008401513,1.571563994,0.302039284
1,male,1.732367618,0.886950659,0.491342472,0.604876289,0.783261789,1.428913252,0.138301303
1,male,1.732973558,0.828810026,0.354513802,0.760153583,0.807662162,1.543030319,0.137883631
0,male,1.762598438,0.76817198,0.586163304,0.864584809,0.937512496,1.507845927,0.165275114
1,male,1.733292177,0.988663874,0.439518155,0.765267438,0.912940647,1.497842969,0.211748109
0,male,1.736085738,0.820660977,0.407676111,0.647862547,0.962038628,1.433064925,0.198377797
0,male,1.712259254,0.723017578,0.536342821,0.775402084,0.965347766,1.587316275,0.261942706
1,male,1.710912745,0.852451233,0.439030567,0.69748138,0.776443297,1.349922524,0.132993898
0,male,1.728993033,0.805796626,0.47475963,0.500317111,0.775816364,1.291968724,0.041655942
0,male,1.661993445,0.667416637,0.220591947,0.578308855,0.602602997,1.262589358,-0.046899851
1,male,1.716886558,0.747914464,0.51294861,0.740219141,0.864573254,1.462288816,0.242458617
0,male,1.736609669,0.921653737,0.35847262,0.792706214,0.977247008,1.617257627,0.243147816
1,male,1.744186261,0.828436772,0.349064483,0.616038262,0.806232961,1.237062082,0.085165355
0,male,1.695227189,0.871356554,0.478501068,0.636320814,0.927636389,1.445575961,0.202519154
1,male,1.699345312,0.82194425,0.459491526,0.499430105,0.749895377,1.436275866,0.100326498
1,male,1.61774296,0.74630329,0.346013093,0.495427009,0.645373621,1.435478324,0.010016672
0,male,1.679333558,0.645521099,0.408905643,0.668151938,0.872937402,1.562245111,0.168394306
0,male,1.65604498,0.796467844,0.366514077,0.520665874,0.840754661,1.403021035,0.131600702
1,male,1.704915463,0.82169859,0.38002072,0.506076362,0.830629605,1.406846648,0.07002406
1,male,1.678515374,0.741413703,0.373114267,0.428442481,0.764052572,1.307063252,0.017550092
1,male,1.679830412,0.785712032,0.502435401,0.624814846,0.83040608,1.331121675,0.225793546
1,male,1.711357049,0.82256971,0.24899252,0.496508055,0.803834228,1.274941918,0.030774296
0,male,1.729529258,0.89871162,0.606768846,0.651688746,0.864168111,1.419535959,0.214355381
0,male,1.621993731,0.688992356,0.415732251,0.617028804,0.946842773,1.54482154,0.25482179
0,male,1.638985251,0.738294239,0.28423829,0.511393275,0.761742817,1.316649366,0.030556621
1,male,1.689705418,0.908167411,0.280510979,0.592758842,0.709918026,1.395384112,0.158751722
0,male,1.726009673,0.823153753,0.444814928,0.769907499,0.944503878,1.53643374,0.289179421
0,male,1.609997066,0.624658779,0.434737603,0.617118218,0.758161931,1.359131528,0.052923746
1,male,1.668474145,0.803460532,0.307500098,0.589843229,0.831257728,1.293453079,0.118758211
0,male,1.723569849,0.797401657,0.404699579,0.730615529,0.784555866,1.473367979,0.100200091
0,male,1.711668442,0.842069662,0.473666447,0.679110007,0.872772805,1.522153931,0.193683219
1,male,1.64011378,0.722580551,0.408973766,0.492337689,0.723801976,1.360249747,0.077049623
0,male,1.627280665,0.743777843,0.329988533,0.444792204,0.685837168,1.335460254,0.069132425
0,male,1.709919063,0.816838987,0.347814238,0.706799103,0.828728375,1.493798555,0.146537284
1,male,1.694092707,0.728124603,0.395834736,0.7086681,0.896131101,1.484338398,0.338861763
0,male,1.64733239,0.819402757,0.329574842,0.419950408,0.723442039,1.273859165,0.110312533
1,male,1.613147797,0.781339295,0.473440456,0.554593145,0.774347415,1.404961085,0.212039642
1,male,1.725972237,0.831861106,0.454269178,0.637238279,0.824191296,1.469728297,0.286519529
1,male,1.635008435,0.761115691,0.567275258,0.591023374,0.7810182,1.443439103,0.141410364
1,male,1.658273021,0.81081474,0.393293917,0.565905101,0.772553427,1.399304183,0.187940226
1,male,1.774890206,0.919371641,0.493792135,0.86526571,0.953705501,1.719553056,0.349668954
1,male,1.730436195,0.840527176,0.454654934,0.660634194,0.900557489,1.349812629,0.21132252
0,male,1.657702754,0.724079129,0.346418826,0.489757501,0.729752532,1.215097788,0.064215376
0,male,1.705446803,0.773417438,0.279326283,0.732190191,0.756827228,1.392034017,0.00074504
0,male,1.722272074,0.887715291,0.432432664,0.668199358,0.81894956,1.4655752,0.113358938
0,male,1.679914375,0.825339603,0.372962933,0.67325296,0.757444463,1.349012914,0.048571066
0,male,1.681144893,0.787054192,0.368979876,0.378338185,0.827089455,1.249851028,0.075705866
0,male,1.643935928,0.755568415,0.303543823,0.657540544,0.757075164,1.482881791,0.110348415
1,male,1.672920558,0.797746903,0.391144914,0.495538662,0.779041072,1.393574482,0.061182618
1,male,1.676655043,0.795179795,0.464818278,0.70302911,0.890551216,1.512159864,0.296180439
1,male,1.621441125,0.69137104,0.357404968,0.472861048,0.722711869,1.264223545,0.040273189
1,male,1.721241479,0.910701609,0.192345498,0.82230524,0.867829924,1.499555126,0.210060097
1,male,1.641218167,0.704510645,0.32291859,0.737213509,0.753117322,1.42929351,0.193388986
1,male,1.656659362,0.928965351,0.379184149,0.613065493,0.887938903,1.518170404,0.288320541
0,male,1.712449036,0.85328951,0.38601897,0.654469402,0.92654119,1.303750551,0.234142936
0,male,1.692600063,0.739878867,0.523957707,0.872439667,0.886187421,1.575653973,0.264779279
0,male,1.670359656,0.821086324,0.329008803,0.590360865,0.752810709,1.466937684,0.061458497
0,male,1.672454209,0.694372465,0.392397898,0.472307757,0.797195208,1.325936639,0.009502196
0,female,1.827354527,0.95215009,0.434090863,0.483737155,1.171458956,1.33857898,0.843652141
1,female,1.722627184,0.783495919,0.409024988,0.391752897,0.950675681,1.244731517,0.938261225
1,female,1.796720529,0.837868975,0.2626305,0.563926281,1.034634274,1.321297703,0.967816239
0,female,1.81466074,0.962802799,0.491735066,0.650121027,1.103552253,1.363715803,0.641550003
0,female,1.766689727,0.91050653,0.315867898,0.400028539,0.976310054,1.234269396,0.718720577
0,female,1.753227287,0.87481852,0.3604739,0.21695931,0.903100636,1.141538453,0.426696151
0,female,1.798854253,0.907534373,0.369861323,0.566842254,1.036448144,1.484674212,0.800378413
0,female,1.770966296,0.879396829,0.21460506,0.586333245,0.85729891,1.283902271,0.336844844
0,female,1.704494109,0.875470317,0.276195636,0.443268449,0.898818111,1.239595716,0.630481891
1,female,1.685442382,0.699845221,0.412545441,0.28230803,0.941975217,1.286929928,0.540873157
1,female,1.771091277,0.842351729,0.519061741,0.412222848,1.207003026,1.317993869,0.919453641
1,female,1.778798455,0.803777597,0.385549991,0.437671385,1.007367815,1.293022771,0.71816429
1,female,1.764383913,0.786374322,0.440814935,0.45180706,0.999951965,1.282679753,0.573286275
0,female,1.720009871,0.805626856,0.492036805,0.021166957,0.918255039,1.08918061,0.633324922
0,female,1.776707514,0.91235872,0.37578125,0.466096927,1.095251524,1.352569175,0.619469908
1,female,1.687069279,0.673093381,0.225739508,0.458821215,0.829344342,1.330217847,0.526096123
0,female,1.744863106,0.908432804,0.317717639,0.435734777,0.95815103,1.229544621,0.805567201
1,female,1.778358909,0.776911308,0.337198756,0.607203751,0.954262577,1.445425652,0.766647479
1,female,1.704381199,0.998191509,0.437575897,0.363021543,1.04075492,1.296604222,0.616494077
1,female,1.745488489,0.831392502,0.3713819,0.548483421,0.905073261,1.302695154,0.645993766
1,female,1.712056562,0.777296582,0.398657583,0.292726055,0.963449984,1.133839443,0.581839003
0,female,1.750312261,0.824091908,0.145624276,0.573521998,0.818903368,1.209321761,0.236419772
1,female,1.73532046,0.860357637,0.473156073,0.195933591,1.025259364,1.117375233,0.527553562
0,female,1.774554137,0.90594358,0.433527983,0.310736525,1.003961501,1.29921542,0.654428946
0,female,1.728042311,0.724676175,0.399230704,0.30440109,0.969999599,1.167114255,0.611149603
0,female,1.755745314,0.867439485,0.281376865,0.541445917,1.04163745,1.306105505,1.09696408
1,female,1.711830565,0.833523956,0.292752383,0.276633674,0.921226932,1.202128306,0.499094469
1,female,1.759318773,0.852854253,0.384285027,0.378614453,0.982910107,1.423354199,0.787348966
0,female,1.706894548,0.732253349,0.41877049,0.185267906,0.960912325,1.161797797,0.451677525
1,female,1.787141444,0.907923111,0.547306723,0.352163088,1.181402085,1.242439751,1.064995676
1,female,1.781648854,0.831886764,0.368217466,0.642423602,1.01313625,1.465542808,0.536129644
0,female,1.759045165,0.851464612,0.411241323,0.452633339,1.049322105,1.354169204,0.882772139
1,female,1.770039015,0.884468006,0.551081634,0.667591596,1.023851091,1.38540532,0.780809417
0,female,1.761831821,0.768516519,0.370392645,0.443902148,0.966568213,1.32039718,0.57238675
1,female,1.73331016,0.813261902,0.446191818,0.168877687,1.040002022,1.143566131,0.705626148
1,female,1.783147262,0.854203541,0.609074696,0.259529847,1.094771504,1.164724003,0.674679979
1,female,1.714057154,0.826172544,0.39207261,0.452718179,0.860792689,1.355001119,0.67780125
0,female,1.770570417,0.827761565,0.453774102,0.413655883,1.017255619,1.451177334,0.637128034
0,female,1.728678706,0.821310647,0.403869244,0.541155977,0.873401633,1.361986161,0.658998222
1,female,1.755760301,0.691885679,0.444274141,0.534996669,1.041169388,1.43939714,0.741617824
0,female,1.71526614,0.835446573,0.401550912,0.335511324,0.923935382,1.26034232,0.718146744
1,female,1.76227385,0.836923197,0.524094928,0.388995973,1.031043776,1.343062898,0.676953877
1,female,1.711860389,0.891147214,0.454799412,0.444935327,1.015275071,1.282020769,1.198313996
0,female,1.765926469,0.916400896,0.382515081,0.564029238,0.90249516,1.410786497,0.564391729
1,female,1.784291103,0.886289225,0.486499683,0.562289821,1.192539182,1.379397347,0.893267493
0,female,1.738263328,0.72959873,0.411458821,0.58396461,0.887527844,1.379084408,0.685708677
0,female,1.675418171,0.811997126,0.403943651,0.037734613,0.89083168,0.97312767,0.371233363
1,female,1.773268019,0.866522313,0.526851098,0.392972386,1.068094261,1.341139748,0.691291701
1,female,1.753840777,0.680247665,0.368379785,0.255340464,0.829214856,1.048657788,0.393987109
0,female,1.686976508,0.808977616,0.394581105,0.458873046,0.917352994,1.193804898,0.446923286
1,female,1.783328999,0.908376598,0.400397869,0.589727226,0.95692629,1.391621518,0.624371316
0,female,1.701316755,0.792412836,0.346433055,0.386713615,0.953527501,1.368144339,0.802181363
0,female,1.712678508,0.773036097,0.225998923,0.391926916,0.844724989,1.228547435,0.457381523
0,female,1.798081238,0.93701816,0.500212725,0.638515525,1.065883326,1.395404837,0.630561824
0,female,1.742731923,0.887367412,0.457514269,0.148638927,0.925180661,1.135066276,0.514164672
0,female,1.762822584,0.916148164,0.37496436,0.651241661,0.871182623,1.334519923,0.283011889
1,female,1.751843022,0.769013283,0.36840785,0.477650909,0.978206061,1.258890775,0.416599846
1,female,1.699263763,0.755839498,0.305147181,0.36339376,0.965653063,1.271871887,0.828994555
1,female,1.783287568,0.974662209,0.535879794,0.375052781,1.124562959,1.23627624,0.679585368
0,female,1.730016475,0.776679089,0.300241636,0.497435992,0.934970028,1.306757799,0.890917078
0,female,1.747141427,0.820399408,0.509181747,0.279612408,1.128553386,1.242537123,0.951478656
1,female,1.759001282,0.811550952,0.452974373,0.345910914,0.973157978,1.229674767,0.735125809
1,female,1.780782368,0.816766908,0.466824346,0.51287166,1.04156962,1.354482593,0.938641235
0,female,1.768571224,1.035728695,0.321690501,0.52330713,0.952150488,1.346203335,0.699438093
1,female,1.736546794,0.818915832,0.254979523,0.606836279,0.918602364,1.462077266,0.658324225
0,female,1.778493684,0.877904193,0.357236569,0.527036239,0.931832946,1.357613045,0.635025604
0,female,1.788279645,0.918704613,0.586520279,0.400261589,1.095127976,1.335983692,0.772171577
0,female,1.754624323,0.83058711,0.292868963,0.532502539,0.972734667,1.387430716,0.545086393
1,female,1.774542393,0.842169344,0.492728648,0.345549196,1.045909554,1.208904349,0.738940475
1,female,1.727350625,0.796762789,0.4526759,0.395978622,0.958819858,1.458188229,0.614667986
1,female,1.766650081,0.866784475,0.338622594,0.611796389,1.147123827,1.391676804,1.031703868
0,female,1.789481944,0.866570578,0.313810766,0.446856144,1.028377127,1.193144871,0.63174394
0,female,1.714746896,0.907307852,0.292227337,0.493937034,0.963626644,1.386023928,0.871060394
0,female,1.762118506,0.783871624,0.339459071,0.473912008,1.044574466,1.19782129,0.853623327
1,female,1.753949627,0.869084505,0.433576138,0.363243378,0.97847874,1.354046885,0.769205792
1,female,1.804677004,0.89856014,0.337060725,0.744437707,1.275705665,1.551150991,1.040132326
0,female,1.720253238,0.781627329,0.326283629,0.488772392,0.945374821,1.40323506,0.512581756
0,female,1.75460707,0.808719177,0.272454018,0.402499599,0.898615181,1.242745789,0.522511185
1,female,1.794284574,0.797807108,0.47748115,0.484925086,0.962912919,1.274330452,0.616428948
1,female,1.711065645,0.875127208,0.564095972,0.37296505,1.029668016,1.249688413,0.689411831
1,female,1.757418625,0.81657113,0.421490743,0.50623103,0.905581912,1.282633158,0.535636148
1,female,1.755470347,0.78953626,0.38597205,0.520889515,0.92528488,1.440483528,0.6854212
1,female,1.733671626,0.838568874,0.528807684,0.383109181,0.97805916,1.349898847,0.707828468
0,female,1.747308156,0.925637177,0.534421246,0.549216933,1.080958684,1.387726308,0.952778416
0,female,1.705264247,0.756396413,0.374306241,0.448344017,0.893299538,1.293492628,0.48089392
1,female,1.749952031,0.78572408,0.42734759,0.39478344,0.873966687,1.16856011,0.364007659
1,female,1.77982228,0.860365969,0.39250643,0.427520345,1.043711907,1.416952307,0.880678383
0,female,1.782433773,0.924561303,0.591468059,0.46623447,1.158811557,1.343705095,0.759092675
1,female,1.747930438,0.768381475,0.487131075,0.491022651,1.019360998,1.342221742,1.047533374
1,female,1.804439593,0.93815887,0.533974173,0.367415478,1.197298124,1.260730469,0.827411956
0,female,1.806077754,0.822644381,0.267201098,0.508736706,1.05401452,1.439100491,0.758382123
0,female,1.808079409,0.996492927,0.453508164,0.289884304,1.028733831,1.291980411,0.715305398
1,female,1.807048135,0.865387304,0.268736264,0.515465608,0.96717891,1.268149178,0.511577615
1,female,1.818256466,0.938152845,0.566338308,0.590628145,1.07764534,1.430587749,0.776980323
1,female,1.770006121,0.769983182,0.365560878,0.451751844,0.912614741,1.397674598,0.509578842
1,female,1.751223474,0.801660963,0.456170458,0.608128997,0.913754309,1.374108592,0.663382891
1,female,1.739847536,0.748438178,0.466860715,0.444380185,0.826785303,1.176459457,0.357825207
1,female,1.777349338,0.85221902,0.219262395,0.6257104,0.958609051,1.33325345,0.647553681
1,female,1.687174362,0.64955971,0.355430968,0.410421775,0.876855849,1.223376094,0.302226564
1,female,1.732451411,0.779012787,0.545150098,0.482126551,0.969066958,1.416273613,0.749229174
1,female,1.774109999,0.775514059,0.448107386,0.320486871,1.030386551,1.179754995,0.489547363
1,female,1.756542038,0.804246943,0.391890043,0.617780853,1.091581335,1.402491242,0.873046433
0,female,1.776171406,0.902992787,0.437846865,0.693253755,0.954747779,1.485571363,0.516341029
0,female,1.747148688,0.909634648,0.541666957,0.631549617,1.073303309,1.424955095,0.71896939
1,female,1.749055474,0.811392733,0.457711606,0.511694399,0.973699066,1.376247016,0.699193028
0,female,1.788131398,0.829951031,0.406336166,0.418790643,0.927865339,1.383719802,0.569755299
1,female,1.750369356,0.864946035,0.559840541,0.331003394,1.047861288,1.195486839,0.774297737
1,female,1.760736199,0.802730721,0.421579962,0.432211308,0.931593841,1.287085266,0.64187733
1,female,1.754477487,0.79045456,0.407794993,0.399231169,1.03862591,1.259710407,0.570662738
1,female,1.747627429,0.788723023,0.309187491,0.473167318,0.962630374,1.329146099,0.727850381
0,female,1.778634227,0.918305746,0.371413876,0.526157611,1.041199666,1.374608969,0.860543119
0,female,1.788276311,0.835524876,0.33039323,0.464168311,1.010267376,1.305869243,1.054747363
1,female,1.782542565,0.893785044,0.409357442,0.440775186,1.007980062,1.31791653,0.502855026
1,male,1.680494939,0.768125391,0.362844539,0.787202807,0.802105546,1.472152356,0.182490268
1,male,1.704514132,0.750011983,0.381478783,0.712631061,0.898056239,1.332893945,0.124287853
1,male,1.653653254,0.899625059,0.4714025,0.592510974,0.775184488,1.45546791,0.085654847
1,male,1.694626957,0.756850339,0.421027204,0.640404958,0.995392165,1.588265919,0.270352335
0,male,1.685482275,0.755499285,0.477655982,0.624001821,0.819961506,1.35178415,0.146424105
1,male,1.703995982,0.898307051,0.375809203,0.745217577,0.826336108,1.60485045,0.197592424
1,male,1.634289467,0.796657618,0.346505612,0.450711576,0.69783533,1.284345989,0.015588411
1,male,1.705255461,0.91155628,0.412112475,0.725129603,0.824437958,1.50212593,0.176259979
0,male,1.70721346,0.688530649,0.259122359,0.47001267,0.813234882,1.282772464,0.015245498
0,male,1.682745155,0.742200236,0.464838217,0.544842981,0.90724804,1.322370424,0.095792292
1,male,1.672114072,0.73851366,0.19258244,0.46356501,0.725579477,1.339817452,0.124679113
1,male,1.72045208,0.849211576,0.330561928,0.676238825,0.948687253,1.477257278,0.234211464
1,male,1.711757021,0.835292862,0.414344669,0.63196753,0.893764621,1.292361854,0.284073639
0,male,1.7331372,0.746303614,0.430238432,0.7788921,0.832377651,1.510618349,0.161963135
0,male,1.75425668,0.874946333,0.345666627,0.757401006,0.765037955,1.419259163,0.099967396
1,male,1.618047862,0.650596656,0.306113774,0.633270771,0.903676827,1.378954405,0.270280004
1,male,1.64424293,0.767638281,0.369457866,0.694178918,0.80466422,1.581395576,0.212876032
0,male,1.734861641,0.728366165,0.386302453,0.770553067,0.80387346,1.472554654,0.026671711
0,male,1.63942641,0.798266257,0.302316615,0.672731327,0.813751232,1.425789166,0.061357962
0,male,1.700653224,0.764107079,0.334996624,0.510676651,0.787719526,1.27448782,0.018621749
0,male,1.630377834,0.870335698,0.368755651,0.490082146,0.758657487,1.190522509,0.024104527
1,male,1.710415012,0.781204064,0.296083289,0.506966157,0.879917011,1.410173394,0.18355488
1,male,1.614231509,0.744325893,0.366489156,0.571829903,0.850444594,1.378929048,0.121301903
1,male,1.651327687,0.747632083,0.36553677,0.393864776,0.767767287,1.289260399,0.068438777
0,male,1.665945446,0.756725665,0.354705784,0.578421167,0.769657494,1.362945468,-0.023107305
0,male,1.692338972,0.740879296,0.094794525,0.741383686,0.731677192,1.372689634,0.053633475
0,male,1.700665468,0.80237404,0.462530461,0.784641434,0.926086508,1.605281929,0.270345876
0,male,1.673983413,0.814622123,0.336720841,0.581071082,0.864419691,1.451880062,0.149363519
0,male,1.664731448,0.802701451,0.405071092,0.477202639,0.793912612,1.208851458,0.03161227
0,male,1.694238885,0.82590025,0.301234858,0.622448978,0.917933671,1.36853513,0.184845119
0,male,1.686879944,0.765196241,0.372651996,0.536828814,0.884443467,1.343152957,0.077953306
0,male,1.668763736,0.809278198,0.309240428,0.780316698,0.758164059,1.522011978,0.116241365
1,male,1.686030057,0.851630588,0.39989568,0.781407955,0.957106056,1.459841163,0.379174267
0,male,1.592127235,0.594455249,0.328468587,0.474003044,0.727846426,1.331218257,0.029913094
0,male,1.754237614,0.890163528,0.459960713,0.798486902,0.979574802,1.458337154,0.266739727
0,male,1.688759175,0.840922591,0.274846935,0.612006864,0.820367526,1.371766985,0.107964665
1,male,1.655702345,0.756680484,0.248175277,0.561987672,0.779569047,1.354352158,0.114620374
1,male,1.692211102,0.783081598,0.373991352,0.706016943,0.678502064,1.318578173,0.001975822
0,male,1.586045502,0.78286704,0.491390934,0.525188711,0.829854745,1.345188778,0.10261866
1,male,1.694610028,0.750422189,0.417043106,0.620316224,0.806086587,1.388976539,0.044971877
0,male,1.646765054,0.938812519,0.415872139,0.48795748,0.764741124,1.349656683,0.042181482
1,male,1.731093007,0.808380947,0.517593285,0.690818773,1.031636739,1.543806077,0.311361182
0,male,1.623629354,0.597130802,0.257295662,0.639341424,0.722683889,1.34961954,-0.073489774
1,male,1.699016394,0.787565251,0.439919887,0.632741184,0.849692172,1.522781897,0.304341868
1,male,1.676899517,0.668379808,0.416785117,0.582487316,0.698607305,1.334026848,0.046789452
1,male,1.580992176,0.648126077,0.292311885,0.424239951,0.600663584,1.351148006,-0.009261553
1,male,1.648522143,0.785727859,0.290805652,0.598390473,0.788051041,1.433895104,0.195025181
0,male,1.674507551,0.743403591,0.36039037,0.635752424,0.83002233,1.421455861,0.102838011
1,male,1.662826036,0.706220059,0.328040526,0.539516946,0.766323334,1.33429708,0.121038629
1,male,1.68955956,0.834623472,0.459229461,0.54961583,0.775303638,1.323317738,0.127222161
1,male,1.636765145,0.697667335,0.376505211,0.493486444,0.794259204,1.226749585,0.041630573
1,male,1.693618562,0.89164287,0.224772329,0.621936098,0.870969958,1.485724176,0.289321713
1,male,1.68843073,0.827544661,0.440455481,0.625850404,0.886095478,1.37199758,0.249870708
1,male,1.659041924,0.802093219,0.349091199,0.334828577,0.736033216,1.212324651,0.047842322
1,male,1.646886306,0.771412061,0.39017728,0.480403604,0.785392364,1.295024922,0.10859609
0,male,1.634527239,0.65276939,0.328376307,0.417994043,0.587101855,1.261905882,-0.039673728
0,male,1.705784913,0.868884215,0.473917567,0.53080102,0.88698033,1.339258645,0.08122553
1,male,1.700689898,0.79316727,0.180949012,0.730775752,0.759861184,1.306981348,0.177065784
0,male,1.692123022,0.837656585,0.312569031,0.675527964,0.907257976,1.469843285,0.104103052
1,male,1.756598151,0.891075467,0.407953202,0.773727855,0.950821078,1.518534863,0.291956974
0,male,1.710828154,0.829260287,0.467942976,0.743552806,0.983270606,1.379459806,0.269285729
1,male,1.679214707,0.86478737,0.485648258,0.76335146,0.908450018,1.575542294,0.566187572
1,male,1.670727229,0.780491532,0.382802151,0.718338568,0.733833096,1.465921521,0.111863442
0,male,1.658004198,0.710977413,0.360920293,0.698806758,0.742368158,1.472797095,0.038086165
1,male,1.713825155,0.82744536,0.560264506,0.757510997,0.897101988,1.510745409,0.240147971
0,male,1.731211703,0.860994721,0.374532868,0.651845937,0.744739111,1.300649628,-0.019515553
0,male,1.725005753,0.800485592,0.463972925,0.766152449,0.755139232,1.493030654,0.16682556
1,male,1.712007369,0.83439817,0.274601805,0.667344084,0.825070393,1.353239909,0.12400017
0,male,1.687737924,0.753951025,0.404396492,0.646325464,0.907861129,1.483700757,0.188504035
0,male,1.756038945,0.825124921,0.418041529,0.733502025,0.840566004,1.448143065,0.11646429
0,male,1.693195296,0.711449153,0.571273784,0.760396403,0.969919373,1.512232467,0.232284641
0,male,1.655690774,0.835745811,0.412070307,0.577096578,0.752527841,1.377817444,0.052540658
