trial,individual,treatment,larvalArea.um2,hatchTime.mins,settleTime.mins,survivalToReprod,wetWeight4months.g
4,s82a5,HD,46745.545,690,810,1,6.448
4,s82a6,LD,49250.755,690,390,1,6.526
4,s82b3,HD,54336.444,690,390,1,8.105
4,s82b4,HD,49907.945,690,1470,1,2.555
4,s82c2,HD,46615.65667,705,375,0,
4,s82d3,LD,42260.2125,690,390,0,
4,s82d5,HD,42557.2075,675,405,0,
4,s83a1,LD,44753.544,675,1485,0,
4,s83a2,LD,55005.325,675,405,1,6.492
4,s83a4,LD,43890.91,690,1470,1,5.885
4,s83a5,LD,45344.68,675,825,1,7.249
4,s83b5,HD,49717.3925,690,390,0,
4,s83c1,HD,49190.4075,690,390,1,3.963
4,s83c4,HD,52371.815,690,390,1,3.569
4,s83c5,LD,51356.3275,675,405,1,2.375
4,s83d4,HD,49248.8525,690,390,1,3.318
4,s83d5,LD,46400.55667,690,1470,1,4.697
4,s91a1,HD,49703.516,675,405,1,5.91
5,s91a2,HD,46128.176,690,390,1,3.995
5,s91a5,LD,48120.56,690,390,1,7.458
5,s91a6,HD,49782.02,690,390,0,
5,s91b1,HD,57232.832,675,405,0,
5,s91b2,LD,53366.3925,675,405,0,
5,s91b3,HD,58751.26,705,375,1,6.668
5,s91b4,LD,60827.68833,675,405,1,1.295
5,s91b5,HD,52282.475,690,390,1,6.389
5,s91b6,LD,51154.375,690,390,0,
5,s91c2,LD,59234.53,675,405,1,6.133
5,s91c3,HD,52701.1225,675,405,0,
5,s91c4,HD,59459.392,675,405,1,0.864
5,s91c5,LD,56589.61333,690,390,1,4.558
5,s92a3,HD,47143.7575,690,390,1,3.218
5,s92c1,HD,45812.585,675,405,0,
5,s92c4,LD,53507.0475,675,405,1,8.077
5,s92d1,LD,51768.18429,660,420,1,5.075
5,s92d2,HD,45458.2525,675,1425,0,
5,s92d3,HD,49751.6075,660,420,0,
5,s92d4,LD,50092.7925,675,645,1,7.362
5,s92d6,HD,48920.97,675,405,1,4.092
5,s93a1,LD,58742.705,675,405,1,2.828
5,s93a4,LD,54693.028,675,645,1,7.618
5,s93a5,LD,46464.992,675,405,0,
5,s93b1,HD,44461.3,675,405,1,5.576
5,s93b2,HD,47436.284,675,405,1,3.001
5,s93b4,HD,53850.988,660,420,0,
5,s93b5,HD,56918.828,675,405,0,
5,s93b6,LD,54815.438,675,405,1,7.892
5,s93c1,LD,50645.44,705,375,1,7.65
5,s93c2,LD,51923.7075,675,405,1,5.836
5,s93c3,LD,51886.736,675,405,1,6.422
5,s93c4,LD,48862.05,660,420,1,2.291
5,s93d1,HD,53919.036,675,405,0,
5,s93d2,LD,47416.136,675,405,1,7.765
5,s93d3,HD,49845.695,660,660,1,2.425
5,s93d4,LD,46561.932,660,420,0,
